Dan	Morgan	told
the	Indian	who
Indian	who	lay
who	lay	face
lay	face	down
face	down	almost
down	almost	under
almost	under	the
under	the	car
the	car	.
car	.	The
.	The	two
The	two	drivers
two	drivers	moved
drivers	moved	closer
moved	closer	.
closer	.	``
.	``	What
``	What	does
What	does	he
does	he	want
he	want	,
want	,	a
,	a	spoon
a	spoon	''
spoon	''	?
''	?	?
?	?	Benson
?	Benson	said
Benson	said	to
said	to	Ramey
to	Ramey	.
Ramey	.	One
.	One	tiny
One	tiny	detail
tiny	detail	in
detail	in	a
in	a	happening
a	happening	can
happening	can	clog
can	clog	the
clog	the	memory
the	memory	and
memory	and	stick
and	stick	like
stick	like	meat
like	meat	in
meat	in	a
in	a	crooked
a	crooked	tooth
crooked	tooth	,
tooth	,	while
,	while	the
while	the	rest
the	rest	of
rest	of	the
of	the	occurrence
the	occurrence	will
occurrence	will	go
will	go	hazy
go	hazy	and
hazy	and	uncertain
and	uncertain	.
uncertain	.	With
.	With	Ramey
With	Ramey	it
Ramey	it	was
it	was	a
was	a	dusty
a	dusty	work
dusty	work	shoe
work	shoe	that
shoe	that	was
that	was	half-off
was	half-off	the
half-off	the	Indian's
the	Indian's	foot
Indian's	foot	that
foot	that	he
that	he	would
he	would	always
would	always	remember
always	remember	.
remember	.	The
.	The	laces
The	laces	were
laces	were	broken
were	broken	at
broken	at	the
at	the	bottom
the	bottom	of
bottom	of	the
of	the	eyelets
the	eyelets	but
eyelets	but	there
but	there	was
there	was	still
was	still	a
still	a	bow
a	bow	knot
bow	knot	at
knot	at	the
at	the	top
the	top	.
top	.	The
.	The	slightest
The	slightest	twitch
slightest	twitch	would
twitch	would	have
would	have	parted
have	parted	the
parted	the	shoe
the	shoe	entirely
shoe	entirely	from
entirely	from	the
from	the	foot
the	foot	,
foot	,	yet
,	yet	the
yet	the	toes
the	toes	were
toes	were	still
were	still	inside
still	inside	.
inside	.	The
.	The	two
The	two	men
two	men	in
men	in	overalls
in	overalls	stood
overalls	stood	just
stood	just	behind
just	behind	the
behind	the	blonde-headed
the	blonde-headed	man
blonde-headed	man	.
man	.	He
.	He	wore
He	wore	tennis
wore	tennis	shorts
tennis	shorts	and
shorts	and	a
and	a	white
a	white	sweater
white	sweater	with
sweater	with	a
with	a	red
a	red	V
red	V	at
V	at	the
at	the	neck
the	neck	,
neck	,	the
,	the	sleeves
the	sleeves	pushed
sleeves	pushed	above
pushed	above	the
above	the	elbows
the	elbows	.
elbows	.	He
.	He	turned
He	turned	and
turned	and	looked
and	looked	at
looked	at	them
at	them	with
them	with	clear
with	clear	blue
clear	blue	eyes
blue	eyes	,
eyes	,	immaculate
,	immaculate	eyes
immaculate	eyes	.
eyes	.	He
.	He	was
He	was	very
was	very	tanned
very	tanned	--
tanned	--	big
--	big	hands
big	hands	might
hands	might	have
might	have	torn
have	torn	him
torn	him	from
him	from	a
from	a	Coca-Cola
a	Coca-Cola	poster
Coca-Cola	poster	.
poster	.	``
.	``	He's
``	He's	dead
He's	dead	,
dead	,	isn't
,	isn't	he
isn't	he	''
he	''	?
''	?	?
?	?	The
?	The	man
The	man	said
man	said	.
said	.	He
.	He	turned
He	turned	and
turned	and	bent
and	bent	over
bent	over	the
over	the	body
the	body	of
body	of	the
of	the	Indian
the	Indian	.
Indian	.	There
.	There	was
There	was	nothing
was	nothing	in
nothing	in	particular
in	particular	on
particular	on	the
on	the	man's
the	man's	face
man's	face	.
face	.	It
.	It	was
It	was	simply
was	simply	a
simply	a	matter
a	matter	of
matter	of	curiosity
of	curiosity	,
curiosity	,	a
,	a	natural
a	natural	right
natural	right	to
right	to	examine
to	examine	.
examine	.	``
.	``	What's
``	What's	this
What's	this	''
this	''	?
''	?	?
?	?	The
?	The	man
The	man	said
man	said	,
said	,	backing
,	backing	up
backing	up	a
up	a	step
a	step	,
step	,	still
,	still	looking
still	looking	down
looking	down	.
down	.	His
.	His	words
His	words	were
words	were	mostly
were	mostly	to
mostly	to	himself
to	himself	.
himself	.	``
.	``	Don't
``	Don't	''
Don't	''	.
''	.	There
.	There	was
There	was	a
was	a	gentle
a	gentle	concern
gentle	concern	in
concern	in	Benson's
in	Benson's	voice
Benson's	voice	.
voice	.	Ramey
.	Ramey	looked
Ramey	looked	down
looked	down	and
down	and	saw
and	saw	the
saw	the	white
the	white	sneaker
white	sneaker	at
sneaker	at	the
at	the	bottom
the	bottom	of
bottom	of	the
of	the	man's
the	man's	tanned
man's	tanned	leg
tanned	leg	cautiously
leg	cautiously	nudge
cautiously	nudge	a
nudge	a	bit
a	bit	of
bit	of	folded
of	folded	,
folded	,	blood-flecked
,	blood-flecked	substance
blood-flecked	substance	lying
substance	lying	by
lying	by	itself
by	itself	on
itself	on	the
on	the	pavement
the	pavement	.
pavement	.	``
.	``	But
``	But	what
But	what	is
what	is	it
is	it	''
it	''	?
''	?	?
?	?	The
?	The	man
The	man	said
man	said	with
said	with	a
with	a	tone
a	tone	of
tone	of	impatience
of	impatience	.
impatience	.	But
.	But	what
But	what	is
what	is	it
is	it	?
it	?	?
?	?	The
?	The	man
The	man	had
man	had	spoken
had	spoken	only
spoken	only	once
only	once	.
once	.	Ramey
.	Ramey	heard
Ramey	heard	the
heard	the	words
the	words	again
words	again	inside
again	inside	,
inside	,	weakened
,	weakened	,
weakened	,	the
,	the	way
the	way	moving
way	moving	water
moving	water	sounds
water	sounds	through
sounds	through	a
through	a	grove
a	grove	of
grove	of	trees
of	trees	,
trees	,	until
,	until	he
until	he	was
he	was	not
was	not	sure
not	sure	whether
sure	whether	it
whether	it	was
it	was	sound
was	sound	or
sound	or	light-headedness
or	light-headedness	pressing
light-headedness	pressing	in
pressing	in	his
in	his	ears
his	ears	.
ears	.	The
.	The	sneaker
The	sneaker	reached
sneaker	reached	out
reached	out	once
out	once	more
once	more	to
more	to	tap
to	tap	against
tap	against	the
against	the	mass
the	mass	and
mass	and	Ramey's
and	Ramey's	vision
Ramey's	vision	darkened
vision	darkened	except
darkened	except	for
except	for	an
for	an	unreasonable
an	unreasonable	clarity
unreasonable	clarity	of
clarity	of	the
of	the	man's
the	man's	leg
man's	leg	.
leg	.	Ramey
.	Ramey	saw
Ramey	saw	sunlight
saw	sunlight	touch
sunlight	touch	the
touch	the	curly
the	curly	blonde
curly	blonde	hairs
blonde	hairs	on
hairs	on	the
on	the	brown
the	brown	skin
brown	skin	.
skin	.	He
.	He	stared
He	stared	at
stared	at	the
at	the	shining
the	shining	,
shining	,	shining
,	shining	circles
shining	circles	of
circles	of	hairs
of	hairs	and
hairs	and	heard
and	heard	the
heard	the	voice
the	voice	of
voice	of	his
of	his	partner
his	partner	through
partner	through	trees
through	trees	,
trees	,	``
,	``	Don't
``	Don't	do
Don't	do	that
do	that	,
that	,	fella
,	fella	.
fella	.	Them's
.	Them's	brains
Them's	brains	''
brains	''	.
''	.	The
.	The	man
The	man	seemed
man	seemed	to
seemed	to	sink
to	sink	a
sink	a	little
a	little	as
little	as	Ramey
as	Ramey	brought
Ramey	brought	the
brought	the	tire
the	tire	iron
tire	iron	down
iron	down	on
down	on	his
on	his	shoulder
his	shoulder	and
shoulder	and	it
and	it	seemed
it	seemed	that
seemed	that	the
that	the	blonde
the	blonde	head
blonde	head	was
head	was	turning
was	turning	as
turning	as	he
as	he	hit
he	hit	the
hit	the	man
the	man	again
man	again	,
again	,	with
,	with	his
with	his	fist
his	fist	.
fist	.	Ramey
.	Ramey	swung
Ramey	swung	and
swung	and	caught
and	caught	the
caught	the	man
the	man	just
man	just	to
just	to	the
to	the	left
the	left	of
left	of	his
of	his	mouth
his	mouth	.
mouth	.	It
.	It	was
It	was	a
was	a	straight
a	straight	,
straight	,	solid
,	solid	,
solid	,	once-in-a-lifetime
,	once-in-a-lifetime	shot
once-in-a-lifetime	shot	;
shot	;	;
;	;	he
;	he	laid
he	laid	all
laid	all	four
all	four	knuckles
four	knuckles	in
knuckles	in	between
in	between	the
between	the	man's
the	man's	cheekbone
man's	cheekbone	and
cheekbone	and	his
and	his	chin
his	chin	.
chin	.	Ramey's
.	Ramey's	fist
Ramey's	fist	and
fist	and	the
and	the	air
the	air	expelled
air	expelled	from
expelled	from	the
from	the	man's
the	man's	collapsing
man's	collapsing	cheek
collapsing	cheek	made
cheek	made	a
made	a	hollow
a	hollow	pop
hollow	pop	in
pop	in	the
in	the	air
the	air	like
air	like	cupped
like	cupped	hands
cupped	hands	clapping
hands	clapping	together
clapping	together	.
together	.	The
.	The	man
The	man	took
man	took	two
took	two	short
two	short	steps
short	steps	backward
steps	backward	then
backward	then	sat
then	sat	down
sat	down	heavily
down	heavily	on
heavily	on	the
on	the	pavement
the	pavement	.
pavement	.	Ramey
.	Ramey	heard
Ramey	heard	a
heard	a	cry
a	cry	from
cry	from	the
from	the	girl
the	girl	and
girl	and	felt
and	felt	a
felt	a	slight
a	slight	pain
slight	pain	somewhere
pain	somewhere	in
somewhere	in	his
in	his	hand
his	hand	.
hand	.	As
.	As	he
As	he	watched
he	watched	the
watched	the	man
the	man	sit
man	sit	suddenly
sit	suddenly	,
suddenly	,	a
,	a	detached
a	detached	part
detached	part	of
part	of	his
of	his	mind
his	mind	observed
mind	observed	how
observed	how	very
how	very	difficult
very	difficult	it
difficult	it	was
it	was	,
was	,	really
,	really	,
really	,	to
,	to	knock
to	knock	a
knock	a	man
a	man	off
man	off	his
off	his	feet
his	feet	.
feet	.	He
.	He	hadn't
He	hadn't	done
hadn't	done	it
done	it	this
it	this	time
this	time	and
time	and	he
and	he	would
he	would	never
would	never	again
never	again	hit
again	hit	anyone
hit	anyone	so
anyone	so	hard
so	hard	.
hard	.	With
.	With	a
With	a	thoughtful
a	thoughtful	look
thoughtful	look	,
look	,	the
,	the	man
the	man	sat
man	sat	on
sat	on	the
on	the	pavement
the	pavement	,
pavement	,	legs
,	legs	straight
legs	straight	out
straight	out	in
out	in	front
in	front	of
front	of	him
of	him	.
him	.	His
.	His	arms
His	arms	hung
arms	hung	like
hung	like	empty
like	empty	shirt
empty	shirt	sleeves
shirt	sleeves	,
sleeves	,	and
,	and	his
and	his	mouth
his	mouth	was
mouth	was	slightly
was	slightly	open
slightly	open	.
open	.	After
.	After	what
After	what	seemed
what	seemed	several
seemed	several	seconds
several	seconds	,
seconds	,	the
,	the	open
the	open	mouth
open	mouth	grew
mouth	grew	dark
grew	dark	inside
dark	inside	then
inside	then	blood
then	blood	began
blood	began	to
began	to	ooze
to	ooze	from
ooze	from	it
from	it	.
it	.	The
.	The	man
The	man	brought
man	brought	one
brought	one	hand
one	hand	up
hand	up	slowly
up	slowly	and
slowly	and	the
and	the	fingers
the	fingers	fumbled
fingers	fumbled	across
fumbled	across	his
across	his	face
his	face	until
face	until	he
until	he	touched
he	touched	his
touched	his	mouth
his	mouth	.
mouth	.	He
.	He	moaned
He	moaned	and
moaned	and	pulled
and	pulled	the
pulled	the	hand
the	hand	away
hand	away	.
away	.	Even
.	Even	yet
Even	yet	there
yet	there	was
there	was	no
was	no	realization
no	realization	in
realization	in	his
in	his	eyes
his	eyes	.
eyes	.	Ramey
.	Ramey	could
Ramey	could	hear
could	hear	the
hear	the	crowd
the	crowd	coming
crowd	coming	up
coming	up	rapidly
up	rapidly	behind
rapidly	behind	him
behind	him	and
him	and	the
and	the	questioning
the	questioning	voices
questioning	voices	coming
voices	coming	over
coming	over	his
over	his	shoulder
his	shoulder	had
shoulder	had	no
had	no	identity
no	identity	or
identity	or	importance
or	importance	to
importance	to	him
to	him	.
him	.	He
.	He	did
He	did	not
did	not	look
not	look	around
look	around	.
around	.	``
.	``	What
``	What	happened
What	happened	''
happened	''	?
''	?	?
?	?	Someone
?	Someone	said
Someone	said	.
said	.	``
.	``	He's
``	He's	hurt
He's	hurt	''
hurt	''	!
''	!	!
!	!	A
!	A	woman's
A	woman's	voice
woman's	voice	said
voice	said	,
said	,	and
,	and	then
and	then	he
then	he	heard
he	heard	a
heard	a	sort
a	sort	of
sort	of	wail
of	wail	from
wail	from	the
from	the	man's
the	man's	wife
man's	wife	.
wife	.	The
.	The	man
The	man	on
man	on	the
on	the	ground
the	ground	began
ground	began	to
began	to	move
to	move	;
move	;	;
;	;	one
;	one	of
one	of	his
of	his	hands
his	hands	flattened
hands	flattened	out
flattened	out	on
out	on	the
on	the	pavement
the	pavement	and
pavement	and	supported
and	supported	him
supported	him	.
him	.	Blood
.	Blood	dripped
Blood	dripped	down
dripped	down	the
down	the	front
the	front	of
front	of	his
of	his	sweater
his	sweater	,
sweater	,	soaking
,	soaking	into
soaking	into	a
into	a	dark
a	dark	streak
dark	streak	of
streak	of	dirt
of	dirt	that
dirt	that	ran
that	ran	diagonally
ran	diagonally	across
diagonally	across	the
across	the	white
the	white	wool
white	wool	on
wool	on	his
on	his	shoulder
his	shoulder	,
shoulder	,	as
,	as	though
as	though	the
though	the	bright
the	bright	V
bright	V	woven
V	woven	into
woven	into	the
into	the	neckline
the	neckline	had
neckline	had	melted
had	melted	,
melted	,	running
,	running	a
running	a	darker
a	darker	color
darker	color	.
color	.	The
.	The	girl
The	girl	kneeled
girl	kneeled	by
kneeled	by	her
by	her	husband
her	husband	with
husband	with	one
with	one	arm
one	arm	at
arm	at	his
at	his	back
his	back	.
back	.	``
.	``	Can
``	Can	you
Can	you	hear
you	hear	,
hear	,	can
,	can	you
can	you	talk
you	talk	to
talk	to	me
to	me	''
me	''	?
''	?	?
?	?	She
?	She	begged
She	begged	.
begged	.	An
.	An	incoherent
An	incoherent	,
incoherent	,	puzzled
,	puzzled	sound
puzzled	sound	came
sound	came	from
came	from	the
from	the	red
the	red	mouth
red	mouth	.
mouth	.	The
.	The	girl
The	girl	looked
girl	looked	around
looked	around	quickly
around	quickly	at
quickly	at	several
at	several	of
several	of	the
of	the	people
the	people	.
people	.	None
.	None	of
None	of	the
of	the	crowd
the	crowd	had
crowd	had	stepped
had	stepped	forward
stepped	forward	to
forward	to	help
to	help	.
help	.	Then
.	Then	she
Then	she	saw
she	saw	Ramey
saw	Ramey	and
Ramey	and	her
and	her	face
her	face	was
face	was	misshapen
was	misshapen	with
misshapen	with	bewilderment
with	bewilderment	.
bewilderment	.	``
.	``	Why
``	Why	did
Why	did	you
did	you	do
you	do	it
do	it	--
it	--	why
--	why	did
why	did	you
did	you	hit
you	hit	him
hit	him	''
him	''	?
''	?	?
?	?	She
?	She	said
She	said	,
said	,	her
,	her	voice
her	voice	rising
voice	rising	.
rising	.	Ramey
.	Ramey	said
Ramey	said	nothing
said	nothing	.
nothing	.	A
.	A	shine
A	shine	in
shine	in	her
in	her	eyes
her	eyes	suddenly
eyes	suddenly	became
suddenly	became	tears
became	tears	and
tears	and	she
and	she	turned
she	turned	back
turned	back	to
back	to	her
to	her	husband
her	husband	again
husband	again	.
again	.	Behind
.	Behind	Ramey
Behind	Ramey	feet
Ramey	feet	scraped
feet	scraped	beneath
scraped	beneath	sharp
beneath	sharp	questioning
sharp	questioning	whispers
questioning	whispers	.
whispers	.	No
.	No	one
No	one	seemed
one	seemed	to
seemed	to	know
to	know	for
know	for	sure
for	sure	what
sure	what	had
what	had	happened
had	happened	,
happened	,	nor
,	nor	was
nor	was	there
was	there	any
there	any	purpose
any	purpose	or
purpose	or	responsibility
or	responsibility	in
responsibility	in	the
in	the	muttering
the	muttering	feet
muttering	feet	and
feet	and	urgent
and	urgent	voices
urgent	voices	behind
voices	behind	the
behind	the	driver
the	driver	,
driver	,	beyond
,	beyond	finding
beyond	finding	out
finding	out	.
out	.	Ramey
.	Ramey	looked
Ramey	looked	around
looked	around	and
around	and	caught
and	caught	sight
caught	sight	of
sight	of	his
of	his	partner
his	partner	near
partner	near	the
near	the	front
the	front	end
front	end	of
end	of	the
of	the	wrecked
the	wrecked	truck
wrecked	truck	talking
truck	talking	to
talking	to	the
to	the	patrolman
the	patrolman	.
patrolman	.	Benson
.	Benson	moved
Benson	moved	his
moved	his	arms
his	arms	,
arms	,	gesturing
,	gesturing	with
gesturing	with	an
with	an	unfamiliar
an	unfamiliar	vigor
unfamiliar	vigor	and
vigor	and	talking
and	talking	rapidly
talking	rapidly	.
rapidly	.	Ramey
.	Ramey	caught
Ramey	caught	a
caught	a	glimpse
a	glimpse	of
glimpse	of	the
of	the	insurance
the	insurance	man
insurance	man	.
man	.	Some
.	Some	of
Some	of	the
of	the	ruddiness
the	ruddiness	was
ruddiness	was	gone
was	gone	from
gone	from	his
from	his	face
his	face	and
face	and	he
and	he	stared
he	stared	at
stared	at	Ramey
at	Ramey	.
Ramey	.	It's
.	It's	all
It's	all	over
all	over	now
over	now	,
now	,	the
,	the	driver
the	driver	thought
driver	thought	as
thought	as	he
as	he	saw
he	saw	the
saw	the	patrolman
the	patrolman	turn
patrolman	turn	and
turn	and	walk
and	walk	rapidly
walk	rapidly	down
rapidly	down	along
down	along	the
along	the	trailer
the	trailer	toward
trailer	toward	them
toward	them	.
them	.	Ramey
.	Ramey	watched
Ramey	watched	him
watched	him	coming
him	coming	with
coming	with	a
with	a	vision
a	vision	as
vision	as	clean
as	clean	as
clean	as	the
as	the	glare
the	glare	on
glare	on	the
on	the	metal
the	metal	sides
metal	sides	of
sides	of	the
of	the	trailer
the	trailer	.
trailer	.	He
.	He	saw
He	saw	the
saw	the	dark
the	dark	sweat
dark	sweat	spots
sweat	spots	flip
spots	flip	in
flip	in	and
in	and	out
and	out	of
out	of	sight
of	sight	under
sight	under	the
under	the	patrolman's
the	patrolman's	swinging
patrolman's	swinging	arms
swinging	arms	and
arms	and	in
and	in	the
in	the	leather
the	leather	holster
leather	holster	that
holster	that	swaggered
that	swaggered	and
swaggered	and	rolled
and	rolled	at
rolled	at	the
at	the	side
the	side	of
side	of	his
of	his	stocky
his	stocky	body
stocky	body	,
body	,	the
,	the	sun
the	sun	left
sun	left	a
left	a	smoky
a	smoky	shine
smoky	shine	on
shine	on	the
on	the	narrow
the	narrow	strip
narrow	strip	of
strip	of	blue
of	blue	metal
blue	metal	that
metal	that	ran
that	ran	between
ran	between	the
between	the	horned
the	horned	handles
horned	handles	of
handles	of	his
of	his	pistol
his	pistol	.
pistol	.	``
.	``	All
``	All	right
All	right	,
right	,	step
,	step	back
step	back	''
back	''	!
''	!	!
!	!	The
!	The	patrolman
The	patrolman	said
patrolman	said	to
said	to	no
to	no	one
no	one	in
one	in	particular
in	particular	as
particular	as	he
as	he	pushed
he	pushed	between
pushed	between	the
between	the	fat
the	fat	man
fat	man	in
man	in	the
in	the	baseball
the	baseball	cap
baseball	cap	and
cap	and	a
and	a	young
a	young	boy
young	boy	in
boy	in	levis
in	levis	.
levis	.	He
.	He	walked
He	walked	straight
walked	straight	up
straight	up	to
up	to	the
to	the	man
the	man	sitting
man	sitting	on
sitting	on	the
on	the	ground
the	ground	and
ground	and	bent
and	bent	over
bent	over	to
over	to	look
to	look	at
look	at	him
at	him	.
him	.	``
.	``	You
``	You	all
You	all	right
all	right	''
right	''	?
''	?	?
?	?	``
?	``	Mough
``	Mough	--
Mough	--	it's
--	it's	my
it's	my	mough
my	mough	''
mough	''	,
''	,	the
,	the	man
the	man	said
man	said	,
said	,	trying
,	trying	to
trying	to	talk
to	talk	without
talk	without	moving
without	moving	his
moving	his	lips
his	lips	.
lips	.	His
